name,genre_id,logo,url
M. DEP 1 HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3745.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/539.ts
M. DCINE HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3750.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/540.ts
M. COMEDIA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3749.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/541.ts
M. Cine Espaæol,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3747.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/542.ts
M. ACCI©N HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3748.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/543.ts
LTC,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3755.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/544.ts
LA SEXTA HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3751.gif,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/545.ts
LA 2,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3752.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/546.ts
LA 1 HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3754.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/547.ts
IBERALIA TV,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3753.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/548.ts
HOLLYWOODHD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3756.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/549.ts
HISTORIA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3757.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/550.ts
GOL,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3758.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/551.ts
FOX NEWS esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3828.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/552.ts
FOX LIFE HD esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3829.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/553.ts
FOX HD esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3835.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/554.ts
FDF,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3759.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/555.ts
EUROSPORT1HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3760.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/556.ts
