name,description,director,actors,year,cover,original_name,url,genres_ids
الكتيبة 418,الكتيبة 418,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2775.jpg,الكتيبة 418,http://5.135.130.33:8800/vid.php?h=MjhobnJoMGwzNFk3aDlQVHdRNXkzZTVCT2J3VWk1YWhyOGsyZXF2cE9lL29VZWJoVmN6RjIxWjErbkplQ1BFMVFFTzBGQ0F5eGdsU1BpS2R2R1QvN2c9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=2db5434ddddea398c6794fa3f4f15355261b0cdcfad9&v=arabic2/الكتيبة-418.mp4,Arabic
كفرون,كفرون,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2776.jpg,كفرون,http://5.135.130.33:8800/vid.php?h=MDREVFVMY0dWenJzZWlHcjhQSk5CNTJ0ZktZR3pzNmFHSGFtZkVQcEVSWnRTd3VlOEY0QWRNYURXRXhIZk9hWFVQb2hocHQvaU5vZW5jaTlhV00vbkE9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=33afc4c3b96092ddf347caaf2e6fdb9e7d7dccbf3120&v=arabic2/كفرون.mp4,Arabic
هرج ومرج,هرج ومرج,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2777.jpg,هرج ومرج,http://5.135.130.33:8800/vid.php?h=cjVFNm1OcE84TjJDNHVieWF2bElzMUUxRnR5c1B0NWhJb1VWN2I0UjBiamg0aTEvZDBiMjNDU3RReUc4OGxzN09UMVpCeVJDdXdXSkNKaWJJdXp1Q3c9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=24a38c75c0b062d9611c88c7bd2aaa73545c7ebd7159&v=arabic2/هرج-ومرج.mp4,Arabic
غرام فى اسطنبول,غرام فى اسطنبول,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2778.jpg,غرام فى اسطنبول,http://5.135.130.33:8800/vid.php?h=aytBRDR5U0l5RkF3UHc4dnRycTJyTjZ5aUlxc05YVUY0RDlWQjFMdGVtckdkSWxHK3NGZkluVGhTSnFYMmk4SnZIYlNmU0JReHBzakJTMHBKU3hIbmc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=af2424959af9bac499f070eb8bf1eaa0e59fb6f3a437&v=arabic2/غرام-فى-اسطنبول.mp4,Arabic
امبراطورية غوار,امبراطورية غوار,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2779.jpg,امبراطورية غوار,http://5.135.130.33:8800/vid.php?h=WmxleXlnUHpZclNuMGlxOHF1cEtiaHp3QUhaVHlDb21ZV3BFWkRLODUydnZMdXhMUDI3SUxadHZlcnV5ZkZ2WDllVGNQM0VWK3FjUmljNFJ2WjBnb2c9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=1fd1606874126e22e34b6e224530f3e84a58bc73e30b&v=arabic2/امبراطورية-غوار.mp4,Arabic
الشوق,الشوق,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2780.jpg,الشوق,http://5.135.130.33:8800/vid.php?h=MmJrUkNjaGxkbHZEUVZEYmFZaTNjczNiRWJPczc2cmZrZTI5TGROc0V5MzZnUWtKc2tiSFEwNXYrNlBPdFkxY0Q3YVozclNwWitxRk43d3lCZStYbFE9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=c854c38c12a3961323afedc6c3886f0835f51462501c&v=arabic2/الشوق.mp4,Arabic
فجر الاسلام,فجر الاسلام,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2781.jpg,فجر الاسلام,http://5.135.130.33:8800/vid.php?h=MmZhcG9xdXM2ZSs5aU1ROHBXVk9abGN5ZUJWalNSQVRJQmZKN21oY2k1RmdFbTErYXN4N0F2VHNnZHp2VWsxZm8vZnNSeklhWU03TmZGeVRQL251ZkE9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=55ead6599ed3e0e34189d8fc5aa9e6ec7567477323cf&v=arabic2/فجر-الاسلام.mp4,Arabic
اسوار القمر,اسوار القمر,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2782.jpg,اسوار القمر,http://5.135.130.33:8800/vid.php?h=UVVGUE9TNnlveDNMcVFUMzVhTUFOMVd0a1J6S0NOR3d6K0JhMXNLTFlDMVRmYnhYN3FaNk5aQXlZWTBFZGQ0OUNQRWpzQkxJa0J4aW03OFlWRXdObEE9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=9b35b7bcd97031c59f1300fa180e1bf4c288816741b2&v=arabic2/اسوار-القمر.mp4,Arabic
أنا عنتر,أنا عنتر,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2783.jpg,أنا عنتر,http://5.135.130.33:8800/vid.php?h=M2R4ZkhGWWhwdmZBNmw5Q2JIOUtEbHpadUFvQ1VKNVdnWVkweEJJNmg1RC9ZSTU0UGFhRVAxMGtXU0xMRnpVK3M4R1dxdzhwQ2Rjbk9RZGg3d2I3UGc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=b14804c5c9f2ac9a1f2e7f85c4c3faaa234ae14637dd&v=arabic2/أنا-عنتر.mp4,Arabic
الرسالة قصة الإسلام,الرسالة قصة الإسلام,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2784.jpg,الرسالة قصة الإسلام,http://5.135.130.33:8800/vid.php?h=am02SmZ0SEFWYTkyZERITXJQYi91QlB6NnQ0SFdpUWFrM2k5TElRRjUwQ1N5ZjhEaFV5c25BbFQzN2JVRWJaOUdkMTRZVkQ2UDhzaDVQZWdIZXBmWVE9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=d957c874e69490716257123f2cc3c1de796c561ff77b&v=arabic2/الرسالة-قصة-الإسلام.mp4,Arabic
